100	56,85
200	57,74
300	57,03
400	58,89
500	58,71
600	57,74
700	58
800	57,74
900	58,44
1000	58,8
1100	57,82
1200	58
1300	58,97
1400	57,82
1500	58,53
1600	57,65
1700	57,29
1800	58,09
1900	56,85
2000	58,53
2100	58,36
2200	55,61
2300	58,8
2400	57,21
2500	56,41
2600	58,36
2700	58,18
2800	56,85
2900	58,09
3000	57,82
3100	58,44
3200	57,21
3300	58,44
3400	58
3500	58,18
3600	57,38
3700	58,09
3800	59,33
3900	57,29
4000	57,47
4100	57,82
4200	58
4300	58,44
4400	59,24
4500	58,27
4600	57,56
4700	58,27
4800	57,47
4900	56,76
5000	59,59
100	58,27
200	58,53
300	57,91
400	58,97
500	57,65
600	56,94
700	57,29
800	58,18
900	58,8
1000	58,44
